Modality,Disorder,Features,# of features,Classifier,Number of subjects,Overall accuracy,Reference
dMRI,AD,FA,1210,SVM,45,100%,Graña et al. (2011)
dMRI,AD/BP,FA maps,1500–14<comma>000,SVM,57,100%,Bergouignan et al. (2011)
dMRI,AD/MCI,FA and MD Values,12–1080,SVM,200,76.6%,Nir et al. (2015)
dMRI,MCI,Clustering coefficient of WM connectivity maps based on fiber count<comma> FA<comma> MD and principal diffusivities,3 (Most selected ROIs),SVM,27,88.90%,Wee et al. (2011)
dMRI,MCI,FA<comma> DA<comma> DR and MD,500,SVM,73,93.00%,O'Dwyer et al. (2012)
dMRI,MCI,FA and the volume of fiber pathways from selected region,100–4500,SVM,84,100%,Lee et al. (2013)
dMRI,MCI,FA maps,1000,SVM,66,97%,Haller et al. (2013)
dMRI,MCI,FA<comma> longitudinal<comma> radial<comma> and mean diffusivity features,N/A,SVM,102,95%,Haller et al. (2010)
fMRI (confrontation naming task),AD (low and high risk),Fractional signal changes ROI,50,LDA + orPLS,24,83.30%,Andersen et al. (2012)
rsfMRI,AD,Averaged voxel intensities of selected resting-state networks,4,Multivariate ROC,31,100%,Wu et al. (2013)
rsfMRI,AD,Graph measures based on FC analysis among ROIs,454,SVM,40,100%,Khazaee et al. (2015)
rsfMRI,AD/FTD,ROI-based difference between DMN and SN map,22,LDA,36,92%,Zhou et al. (2010)
rsfMRI,AD/MCI,FC among selected AAL regions,3403,Bayesian Gaussian process logistic regression,116,82.5%,Challis et al. (2015)
rsfMRI,MCI,Local connectivity and global topological properties,450,Multiple kernel learning,37,91.90%,Jie et al. (2014)
rsfMRI,MCI,N/A,465,N/A,60,95.60%,Beltrachini et al. (2015)
sMRI,AD,Eigen brains of key slices,10,SVM,126,92.30%,Zhang et al. (2015)
sMRI,AD,ODVBA of RAVENs maps,N/A,SVM,100,90%,Zhang and Davatzikos (2011)
sMRI,AD,Hippocampus shape measures using LDDMM and PCA,20 principal components (3–4 selected by the classifier),Logistic regression,44,82.85%,Wang et al. (2007)
sMRI,AD,GM<comma> WM<comma> and CSF tissue densities along with age<comma> gender and genotype,237–240,SVM,380,87.6%,Vemuri et al. (2008)
sMRI,AD,Cortical thickness measures along mesh vertices,82<comma>000 mesh vertices,RVoxM,300,93.0%,Sabuncu and Van Leemput (2012)
sMRI,AD,Whole brain and hippocampus VBM measures,N/A,SVM,62,76%,Polat et al. (2012)
sMRI,AD,Volumetric measures,45,SVM,34,88.20%,Oliveira et al. (2010)
sMRI,AD,Hippocampus morphometric measures,9,LDA,101,77%,Miller et al. (2009)
sMRI,AD,GM maps,10–45,SVM<comma> ELM<comma> Self-adaptive Resource Allocation Network,60,98.5%,Mahanand et al. (2012)
sMRI,AD,GM distribution of ROIs,90,SVM,38,94.50%,Magnin et al. (2009)
sMRI,AD,Surface-based measures of hippocampus,N/A,SVM,39,89.6%,Li et al. (2007)
sMRI,AD,Cortical thickness,N/A,LDA<comma> QDA and logistic regression,36,95%,Lerch et al. (2008)
sMRI,AD,Cortical thickness data and hippocampus shape,N/A,LDA,117,87.50%,Lee et al. (2014)
sMRI,AD,GM probability maps,Variable,Linear program boosting of voxel-wise weak classifiers with spatial constraints,183,82.0%,Hinrichs et al. (2009)
sMRI,AD,WM and GM voxels selected by SVM-RFE,Variable,SVM,370,94.6%,Hidalgo-Muñoz et al. (2014)
sMRI,AD,Volumes of hippocampus–amygdala formation,1,SVM,55,93%,Hampel et al. (2002)
sMRI,AD,Linear measurements of several structures,12,LDA,77,84%,Frisoni et al. (1996)
sMRI,AD,Texture features,260,Linear discriminant function,66,91%,Freeborough and Fox (1998)
sMRI,AD,Percentage of brain volume changes,3,SVM,60,91.70%,Farzan et al. (2015)
sMRI,AD,GM<comma> WM and CSF volumes and size of hippocampus,5,SVM<comma> MLP<comma> andJ48 decision tree,85,93.70%,Farhan et al. (2014)
sMRI,AD,Brain volume<comma> temporal lobe matter and CSF volume,4,Discriminant analysis,60,100%,DeCarli et al. (1995)
sMRI,AD,Several voxel-based and cortical thickness-based schemes,Variable,Regularized SVM,299,87%,Cuingnet et al. (2013)
sMRI,AD,Atrophic patterns of hippocampus andentorhinal cortex,N/A,QDA,100,93%,Coupé et al. (2012)
sMRI,AD,SIFT features,133,Ensemble of SVMs,212,78%,Chen et al. (2014)
sMRI,AD,Pdf of VOI based on VBM,100,SVM,260,86%,Beheshti and Demirel (2015)
sMRI,AD,Generative-discriminative basis vectors based on RAVEN maps,30–50,Logistic model trees,117,88%,Batmanghelich et al. (2012)
sMRI,AD,Cortical thickness and volumetric measures,N/A,SVM,54,90.9%,Arimura et al. (2008)
sMRI,AD,GM maps based on VBM,384<comma>065,SVM,448,72%,Adaszewski et al. (2013)
sMRI,AD,Gray matter probability maps,2.00E + 06,SVM,417,87%,Abdulkadir et al. (2011)
sMRI,AD/FTD,GM maps,N/A,SVM,195,91.5%,Klöppel et al. (2008)
sMRI,AD/FTD,GM volume an thickness and complexity estimates,N/A,LDA,66,88.5%,Young et al. (2009)
sMRI,AD/FTD,Morphometric measures of selected ROIs,2,Discriminant analysis,45,91%,Kaufer et al. (1997)
sMRI,AD/MCI,3D hippocampal shape morphology,N/A,SVM,262,80%,Costafreda et al. (2011a)
sMRI,AD/MCI,GM<comma> WM and CSF volumetric measures and ventricle shape,18,Particle swarm optimization SVM,52,91.5%,Yang et al. (2013)
sMRI,AD/MCI,Coefficient of ICA on normalized brain images,N/A,SVM,608,83.25%,Yang et al. (2011)
sMRI,AD/MCI,Hippocampal volume<comma> tensor-based morphometry<comma> cortical thickness and manifold-based learning features,112–114,LDA and SVM,834,81.15%,Wolz et al. (2011)
sMRI,AD/MCI,ROI-based and correlative features based on cortical and cerebral thickness and WM volumes,N/A,Multi-kernel SVM,598,83.9%,Wee et al. (2013)
